file_index,norm_T,norm_Td,norm_combined
169,32.03415545183078,23.47712047178013,39.71602071152821
170,31.493366903456106,24.281677908812814,39.767223199301114
171,36.25192059667642,39.7767859850811,53.81816097053742
172,32.875511590565345,33.68817240424278,47.071140014656336
173,30.193377171077483,20.073435914020283,36.257176591527674
174,25.74144444479518,93.66953361204828,97.14218182233256
175,20.63978157321802,8.456860928116445,22.30513573479553
176,51.16920595231126,64.86367355952518,82.61709136387393
177,46.45904777438582,48.809794893227384,67.385749217632
178,39.472630911598614,39.759877135845095,56.02621190961234
179,28.30135970044783,34.83146971909736,44.87982000505938
180,20.832109487436718,35.1047112564638,40.820552888174454
181,14.326415340553112,22.421049437950533,26.60732294705834
182,16.262859489046473,42.753473301251944,45.74210399709803
183,11.059624271674606,12.269007746941115,16.517985353096638
184,30.99140150568468,75.53563674589934,81.64618414779108
185,23.547890688173716,49.34497205542385,54.67567487478082
186,22.830352461990472,20.037085819599124,30.37613868944989
187,16.367516359900353,25.42315194737912,30.236273691232725
188,7.14150871587517,22.200831828165164,23.321193807380283
189,11.956163949309312,27.859776980727684,30.3169429494243
190,14.667120858061102,28.47159482107504,32.02742802537285
191,7.941552706683862,16.76794864526433,18.553499970713336
192,11.737538044020807,23.381342952870643,26.162129072661298
193,8.643833277047987,19.320791795460984,21.166219533137102
194,18.35514494568248,36.468431589049615,40.82717046945827
195,20.78889851574598,38.89173762352445,44.09926934627208
196,16.175117564066873,36.601568148891474,40.01636189322227
197,17.746425494397716,37.808719714773595,41.76643274566933
198,19.5517061392488,31.573001083347226,37.13655356067098
199,19.465174456916642,29.64763199236754,35.46653492227645
200,18.912647581476957,29.497878555885958,35.040163781565624
201,14.345764712272894,38.56371894644357,41.14561196725825
202,15.841456618054119,37.72689763204869,40.917851272039826
203,21.07654664894813,32.85264314618981,39.0322556398702
204,18.573199011829573,37.60102522888094,41.938059323196725
205,22.887460244726025,31.984428177002364,39.329880272685
206,20.88972095895823,26.138301911003698,33.46029390985558
207,34.03628143733572,43.17852806553923,54.98048508323734
208,34.01245120126889,47.325659455542855,58.28005559040511
209,26.305452308659376,39.183546497830235,47.19456681982341
210,21.968752413966303,23.181558362301345,31.937606841010076
211,19.29691458507462,31.686600418358005,37.100021005066175
212,21.6007361105729,31.884496652808075,38.512503519266794
213,25.37907100432028,35.20282059824349,43.39741724013592
214,30.95548384841875,19.64727479356788,36.66411579601616
215,34.92474832870978,38.41535382538963,51.91798778220892
216,18.915862813690165,33.03895098875228,38.07075187625695
217,24.37718998093026,29.751264174957853,38.462775658739154
218,18.268111496399424,35.511297937377925,39.93464885086762
219,21.391136500454014,33.60206964201115,39.83314957428829
220,23.527231727847173,38.72319884911539,45.31022800520816
221,26.900069856487992,41.32503098333902,49.30894385461794
222,26.942548232689013,28.140701054128364,38.95895225860926
223,23.41668573166367,31.38465021652198,39.157852850596065
224,15.596884920036334,31.92830464436102,35.53420122462277
225,19.069246589748108,38.41844584456572,42.89071165896468
226,20.081679305015733,33.59091600685056,39.135961491814484
227,22.787178345907883,34.454631527593854,41.30831793562257
228,18.880382740756342,35.82449267665239,40.49522352052117
229,20.148475589159883,39.02606031360887,43.92031935412594
230,19.42628427222988,40.34940744860231,44.78230903022766
231,5.09270532349914,19.08511108238409,19.752901370151587
232,10.332295695120168,13.526356603468956,17.021123855245488
233,8.209156440303111,47.42006167089831,48.12538309804057
234,11.529053250248564,5.519155229421216,12.782024225196668
235,10.207541132756335,18.431654702054423,21.069404145174047
236,6.488326908437057,27.26379172383763,28.025215881979314
237,3.713868050853866,10.362594293481981,11.008005104943331
238,4.1594000380487675,7.3942486844615365,8.483838888391343
239,6.764377043752463,13.531486240344101,15.128050656402067
240,11.412327734191887,14.934348318586498,18.795637366513343
241,17.60632258961958,37.87517572748345,41.767350065781045
242,11.202779433892518,53.70516108597769,54.86115742777633
243,28.064372215929186,21.893976100516817,35.59431383471551
244,28.662346606228905,26.804959079755232,39.24329171008663
245,38.56155383829908,64.72240177412598,75.33911816470528
246,33.988948147362535,45.12465501125173,56.49321274320116
247,46.79352796055923,45.894436518629384,65.54337161268211
248,49.857206750736204,56.47932375968124,75.33694364212387
249,27.532074912435483,136.3011760452067,139.05403892117042
250,19.902628232013424,53.60439916380753,57.17994596232623
251,24.506769094922458,24.81748782264425,34.87820857353402
252,30.891709036526347,28.563236595090597,42.07322393143323
253,47.92135528480809,111.9750275115457,121.79845269355526
254,53.72917923410556,110.04649509338766,122.46246683580091
255,50.24169382837092,95.11484980358831,107.56887306234518
256,37.434104411877904,74.71449243794422,83.56774230155438
257,31.303951171022533,51.99218220537243,60.68874994094382
258,20.19203279718334,30.637789495414573,36.69321917804247
259,16.642828235786187,33.11035599167776,37.057784682594196
260,70.48927835210276,90.39287071632063,114.62813545957067
261,38.48531178699055,57.03854117357603,68.80780771505223
262,34.925656529606876,68.73929331198528,77.10312528721009
263,12.620582568720078,7.303634180688645,14.581569758404086
264,6.780338486372128,9.28441516373924,11.496667122364212
265,7.466391262062479,11.700344422256252,13.879663471339134
266,40.690407886671395,124.75937764800342,131.2273279660179
267,30.16268571369694,116.56499749343008,120.40426176056484
268,27.661663095245242,57.28464329845786,63.613661764014225
269,19.909936899118414,59.82743279328133,63.053368680519135
270,6.356505808446885,7.570708529823894,9.88538283205902
