lambda_um,PC1_sens,PC2_sens,PC3_sens,PC4_sens,PC5_sens,PC6_sens,PC7_sens,PC8_sens,PC9_sens
2.644103649,0.001086067,-0.00011700299999999999,4.985e-05,6.025e-05,3.68e-05,7.195e-05,-5.07e-05,5.755e-05,-1.08e-05
2.644802962,0.001089352,-0.000118156,5.07e-05,6.104999999999999e-05,3.685e-05,7.25e-05,-5.1049999999999994e-05,5.74e-05,-1.0500000000000001e-05
2.645502646,0.0010953485,-0.00011459299999999999,4.735e-05,5.785e-05,3.73e-05,7.094999999999999e-05,-5.0499999999999994e-05,5.955e-05,-1.26e-05
2.646202699,0.001098411,-0.00011467500000000001,4.75e-05,5.79e-05,3.74e-05,7.12e-05,-5.065e-05,5.9850000000000005e-05,-1.265e-05
2.646903123,0.0010996855000000002,-0.00011704099999999999,4.9300000000000006e-05,5.9800000000000003e-05,3.73e-05,7.23e-05,-5.12e-05,5.915e-05,-1.17e-05
2.647603918,0.0011070914999999999,-0.0001205455,5.1699999999999996e-05,6.23e-05,3.7649999999999994e-05,7.36e-05,-5.1500000000000005e-05,5.755e-05,-1.0350000000000001e-05
2.648305085,0.0011161305,-0.000121836,5.2149999999999994e-05,6.280000000000001e-05,3.82e-05,7.38e-05,-5.125e-05,5.685e-05,-9.98e-06
2.649006623,0.0011213815,-0.0001224125,5.24e-05,6.304999999999999e-05,3.84e-05,7.400000000000001e-05,-5.13e-05,5.685e-05,-9.905000000000001e-06
2.649708532,0.0011190785,-0.000121921,5.2199999999999995e-05,6.295000000000001e-05,3.8100000000000005e-05,7.424999999999999e-05,-5.19e-05,5.79e-05,-1.0350000000000001e-05
2.650410814,0.0011233965,-0.0001225675,5.2600000000000005e-05,6.335e-05,3.83e-05,7.46e-05,-5.21e-05,5.8e-05,-1.02e-05
2.651113468,0.001121379,-0.00012058199999999999,5.135e-05,6.194999999999999e-05,3.79e-05,7.42e-05,-5.245e-05,5.975e-05,-1.13e-05
2.651816494,0.0011242685,-0.000119025,4.9999999999999996e-05,6.075e-05,3.805e-05,7.37e-05,-5.24e-05,6.085e-05,-1.22e-05
2.652519894,0.0011346155,-0.0001164745,4.7149999999999994e-05,5.805e-05,3.8849999999999996e-05,7.24e-05,-5.16e-05,6.23e-05,-1.39e-05
2.653223667,0.001133659,-0.00011868600000000001,4.915e-05,5.9999999999999995e-05,3.855e-05,7.36e-05,-5.245e-05,6.170000000000001e-05,-1.29e-05
2.653927813,0.0011334835,-0.000121604,5.1649999999999995e-05,6.245e-05,3.825e-05,7.500000000000001e-05,-5.3150000000000004e-05,6.075e-05,-1.16e-05
2.654632333,0.001138061,-0.00012146849999999999,5.1450000000000004e-05,6.22e-05,3.845e-05,7.510000000000001e-05,-5.325e-05,6.12e-05,-1.2e-05
2.655337228,0.0011472435,-0.0001189935,4.8700000000000005e-05,5.975e-05,3.91e-05,7.38e-05,-5.2550000000000003e-05,6.265e-05,-1.355e-05
2.656042497,0.0011478385,-0.0001209855,5.05e-05,6.145e-05,3.895e-05,7.500000000000001e-05,-5.32e-05,6.214999999999999e-05,-1.27e-05
2.65674814,0.0011499919999999999,-0.0001229045,5.205e-05,6.305e-05,3.89e-05,7.59e-05,-5.375e-05,6.175000000000001e-05,-1.1949999999999999e-05
2.657454159,0.001153487,-0.00012468,5.3349999999999996e-05,6.434999999999999e-05,3.9e-05,7.67e-05,-5.41e-05,6.135e-05,-1.14e-05
2.658160553,0.0011578984999999998,-0.0001241185,5.27e-05,6.375e-05,3.915e-05,7.654999999999999e-05,-5.415e-05,6.195e-05,-1.19e-05
2.658867323,0.0011611730000000002,-0.00012377,5.235e-05,6.335e-05,3.925e-05,7.644999999999999e-05,-5.4250000000000004e-05,6.255e-05,-1.23e-05
2.659574468,0.0011713000000000001,-0.0001207355,4.915e-05,6.03e-05,4e-05,7.500000000000001e-05,-5.35e-05,6.415e-05,-1.41e-05
2.66028199,0.00117315,-0.0001219425,5.01e-05,6.135e-05,4e-05,7.57e-05,-5.3899999999999996e-05,6.405e-05,-1.37e-05
2.660989888,0.0011728085,-0.0001237845,5.185e-05,6.290000000000001e-05,3.9750000000000004e-05,7.67e-05,-5.455e-05,6.36e-05,-1.3e-05
2.661698163,0.0011799475,-0.000123295,5.0950000000000005e-05,6.22e-05,4.015e-05,7.649999999999999e-05,-5.4350000000000006e-05,6.429999999999999e-05,-1.36e-05
2.662406816,0.0011819995,-0.000124076,5.1649999999999995e-05,6.285000000000001e-05,4.015e-05,7.695e-05,-5.475e-05,6.434999999999999e-05,-1.34e-05
