lambda_um,S_rms_9,S_max_9
7.830853563,0.12262483914229742,0.3677293895
7.836990596,0.1449689211534904,0.43439735700000004
7.843137255,0.12105307096099611,0.3630020625
7.849293564,0.15417901648250265,0.4623331985
7.855459544,0.12134003587006865,0.361945152
7.86163522,0.10481735271798842,0.3104102305
7.867820614,0.11009330177153968,0.3268037145
7.874015748,0.10693435096471174,0.31693485
7.880220646,0.11374740082374118,0.33817580999999997
7.886435331,0.10964993923247478,0.32550396849999996
7.892659826,0.12833113124010015,0.383343013
7.898894155,0.1171062744142998,0.34859943
7.90513834,0.1361594201720873,0.407657319
7.911392405,0.15104014340455538,0.452627277
7.917656374,0.15485761205949466,0.464353696
7.923930269,0.14237015762501487,0.42674896
7.930214116,0.11501864536391916,0.342353051
7.936507937,0.10717991673143062,0.31775814
7.942811755,0.12732191843894256,0.380260932
7.949125596,0.17866810756790125,0.535618786
7.955449483,0.16739370136863224,0.501902565
7.961783439,0.17140191806015165,0.5129358305
7.96812749,0.1492089362322691,0.44699209500000003
7.974481659,0.15177634695340744,0.4550861305
7.98084597,0.15593465588700822,0.467156178
7.987220447,0.16195980706630023,0.48514248800000004
7.993605116,0.16226597946898483,0.48577631050000003
8.0,0.12533976718269904,0.37484375000000003
8.006405124,0.18500487935294052,0.5530203545000001
8.012820513,0.14102760823760713,0.422784461
8.019246191,0.16134468160084892,0.4819750395
8.025682183,0.1484988586545873,0.4444853305
8.032128514,0.15717039686853118,0.4712075995
8.038585209,0.1132994182177092,0.3368985875
8.045052293,0.1546505702131573,0.4634374475
8.051529791,0.1696377049349155,0.5073492995
8.058017728,0.16363482826907486,0.48959175
8.064516129,0.19252318976871513,0.57629248
8.07102502,0.1728022379139948,0.5180265815
8.077544426,0.14723910461508194,0.439485667
8.084074373,0.16184512027798797,0.48498706449999995
8.090614887,0.13493236251923882,0.40354089849999997
8.097165992,0.13057889294127056,0.38885611350000004
8.103727715,0.12039218298382233,0.3581369835
8.110300081,0.15942727728982412,0.47623052899999996
8.116883117,0.12288947713397284,0.3655754995
8.123476848,0.12093848951327003,0.359777009
8.130081301,0.12968920202056636,0.3873024
8.136696501,0.1539880999231002,0.4608355495
8.143322476,0.14970753508360443,0.44621246550000004
8.14995925,0.19672059489609334,0.587984351
8.156606852,0.17017884327593835,0.5101439944999999
8.163265306,0.11366370937876576,0.3378657185
8.169934641,0.20178334194967373,0.603989654
8.176614881,0.179289333665116,0.53614406
8.183306056,0.17453080369145202,0.5214547724999999
8.19000819,0.17601138586121315,0.526639583
8.196721311,0.18112607329544894,0.5421497
8.203445447,0.17350754538282304,0.5201606480000001
8.210180624,0.18111290863021404,0.5423763745
8.216926869,0.15452465128627954,0.460692733
8.223684211,0.16381413688086294,0.48899153900000003
8.230452675,0.18951869045767195,0.5668704
8.23723229,0.18827427275578168,0.5621794840000001
8.244023083,0.1857494827656416,0.5569131665
8.250825083,0.12200092602778757,0.3637105345
8.257638315,0.16286822401399403,0.488278167
8.26446281,0.18232222857474867,0.5445719950000001
8.271298594,0.1871455920829836,0.5589468145
8.278145695,0.13402818641573302,0.3991816675
