lambda_um,PC1_plus,PC2_plus,PC3_plus,PC4_plus,PC5_plus,PC6_plus,PC7_plus,PC8_plus,PC9_plus,PC1_minus,PC2_minus,PC3_minus,PC4_minus,PC5_minus,PC6_minus,PC7_minus,PC8_minus,PC9_minus
2.527805865,0.0006706,-6.65E-05,2.69E-05,3.30E-05,2.35E-05,3.82E-05,-2.39E-05,2.71E-05,-5.63E-06,-0.000608626,6.73E-05,-2.68E-05,-3.29E-05,-2.35E-05,-3.80E-05,2.39E-05,-2.69E-05,5.63E-06
2.528445006,0.000663848,-6.66E-05,2.75E-05,3.36E-05,2.27E-05,3.91E-05,-2.55E-05,2.88E-05,-5.79E-06,-0.000601592,6.74E-05,-2.75E-05,-3.35E-05,-2.27E-05,-3.89E-05,2.55E-05,-2.88E-05,5.63E-06
2.529084471,0.000670391,-6.69E-05,2.72E-05,3.33E-05,2.33E-05,3.86E-05,-2.44E-05,2.77E-05,-5.63E-06,-0.000607698,6.75E-05,-2.72E-05,-3.33E-05,-2.33E-05,-3.83E-05,2.44E-05,-2.75E-05,5.63E-06
2.52972426,0.000654113,-6.67E-05,2.84E-05,3.44E-05,2.14E-05,4.09E-05,-2.86E-05,3.23E-05,-6.09E-06,-0.000591452,6.75E-05,-2.84E-05,-3.42E-05,-2.13E-05,-4.08E-05,2.86E-05,-3.22E-05,5.94E-06
2.530364372,0.000667214,-6.79E-05,2.84E-05,3.47E-05,2.25E-05,4.05E-05,-2.70E-05,3.01E-05,-5.47E-06,-0.000605365,6.87E-05,-2.84E-05,-3.45E-05,-2.25E-05,-4.03E-05,2.70E-05,-3.00E-05,5.47E-06
2.531004809,0.000663754,-6.81E-05,2.90E-05,3.50E-05,2.20E-05,4.12E-05,-2.81E-05,3.14E-05,-5.62E-06,-0.000601469,6.88E-05,-2.89E-05,-3.48E-05,-2.19E-05,-4.09E-05,2.81E-05,-3.12E-05,5.62E-06
2.53164557,0.000656397,-6.57E-05,2.78E-05,3.37E-05,2.12E-05,4.09E-05,-2.89E-05,3.37E-05,-6.87E-06,-0.000592115,6.63E-05,-2.76E-05,-3.35E-05,-2.12E-05,-4.07E-05,2.90E-05,-3.35E-05,6.71E-06
2.532286655,0.000665266,-6.86E-05,2.96E-05,3.57E-05,2.20E-05,4.18E-05,-2.87E-05,3.20E-05,-5.46E-06,-0.000603043,6.96E-05,-2.93E-05,-3.52E-05,-2.17E-05,-4.15E-05,2.89E-05,-3.17E-05,5.61E-06
2.532928065,0.000662747,-6.72E-05,2.87E-05,3.48E-05,2.15E-05,4.16E-05,-2.91E-05,3.34E-05,-6.39E-06,-0.000598841,6.80E-05,-2.85E-05,-3.44E-05,-2.15E-05,-4.13E-05,2.93E-05,-3.32E-05,6.39E-06
2.5335698,0.000670045,-6.84E-05,2.91E-05,3.52E-05,2.20E-05,4.18E-05,-2.88E-05,3.26E-05,-5.92E-06,-0.000606795,6.92E-05,-2.90E-05,-3.51E-05,-2.20E-05,-4.14E-05,2.90E-05,-3.24E-05,5.92E-06
